timestamp,ax,ay,az,wx,wy,wz
1459.0,0.323334,0.8752439999999999,0.486405,-0.060977,-0.214357,-0.0752469999999999
1460.0,0.321381,0.867309,0.540466,-0.037702,-0.493027,-0.182769
1461.0,0.294098,0.840042,0.538467,-0.028991,-0.735592,-0.213799
1462.0,0.266007,0.831802,0.528199,-0.060513,-0.976872,-0.297577
1463.0,0.232101,0.82547,0.541732,-0.132103,-1.151993,-0.41699
1464.0,0.231842,0.819366,0.635788,-0.176475,-1.436813,-0.525489
1465.0,0.196258,0.7969819999999999,0.634628,-0.393306,-1.789183,-0.600355
1466.0,0.129669,0.82109,0.569671,-0.372409,-2.043426,-0.673819
1467.0,0.127304,0.853134,0.6194299999999999,-0.315988,-2.319042,-0.767013
1468.0,0.1568609999999999,0.807404,0.576447,-0.230491,-2.590492,-0.867239
1469.0,0.166977,0.79242,0.529785,-0.302383,-2.761404,-0.955777
1470.0,0.17154,0.824249,0.467056,-0.330902,-2.963233,-1.101214
1471.0,0.1370549999999999,0.853333,0.352951,-0.288626,-3.147398,-1.130632
1472.0,0.093353,0.942733,0.290497,-0.213707,-3.282706,-1.177623
1473.0,0.0928949999999999,1.028931,0.315552,-0.206864,-3.431667,-1.188343
1474.0,0.116241,1.0834800000000002,0.319504,-0.237956,-3.525267,-1.136737
1475.0,0.1245419999999999,1.148514,0.239853,-0.218072,-3.637354,-0.939622
1476.0,0.0428619999999999,1.137955,0.19989,-0.432572,-3.632804,-0.648874
1477.0,-0.057068,1.121551,0.171296,-0.724925,-3.488487,-0.437852
1478.0,-0.104248,1.168472,0.1384129999999999,-0.677015,-3.30463,-0.410334
1479.0,-0.105942,1.145737,0.07106,-0.340084,-3.217571,-0.354275
1480.0,-0.0996699999999999,1.069351,0.020782,-0.084021,-3.189663,-0.39634
1481.0,-0.150314,0.946656,-0.0110929999999999,-0.095142,-3.16401,-0.448633
1482.0,-0.20195,0.87764,-0.068222,-0.268823,-3.07073,-0.524481
1483.0,-0.188766,0.957702,0.064773,-0.380167,-2.864646,-0.755804
1484.0,-0.1494589999999999,0.907089,0.021469,-0.268359,-2.879891,-0.779763
1485.0,-0.147415,0.958206,0.044052,-0.041577,-2.810308,-0.8743619999999999
1486.0,-0.0922549999999999,0.884353,0.119919,-0.249811,-2.771,-1.060433
1487.0,-0.0209039999999999,0.826187,0.164887,-0.637614,-2.880271,-1.087436
1488.0,-0.006439,1.004105,0.148498,-0.646863,-2.789656,-1.183278
1489.0,0.030029,1.075363,0.100571,-0.489743,-2.596963,-0.919954
1490.0,0.026535,1.116912,0.052338,-0.740166,-2.293308,-0.635755
1491.0,0.047669,1.088653,0.0428929999999999,-1.167823,-1.951694,-0.423258
1492.0,0.09935,1.172653,-0.0359339999999999,-0.887143,-1.862691,-0.121022
1493.0,0.067047,1.198624,-0.08226,-0.340214,-1.601903,-0.042576
1494.0,0.0069279999999999,1.058441,-0.129456,-0.297969,-1.384051,0.030687
1495.0,-0.06688,0.974716,-0.1470339999999999,-0.194416,-1.138594,0.003721
1496.0,-0.0840749999999999,0.974716,-0.139526,-0.052287,-0.757947,-0.153482
1497.0,-0.039292,0.931351,-0.1622469999999999,0.031307,-0.456011,-0.193439
1498.0,-0.00856,0.935013,-0.083221,-0.143582,-0.215877,-0.285102
1499.0,0.0054169999999999,0.987976,-0.02095,0.059218,-0.122875,-0.333177
1500.0,0.097427,1.011963,0.094773,0.501729,0.0216,-0.489528
1501.0,0.164306,0.876831,0.1165779999999999,0.092008,-0.067619,-0.361387
1502.0,0.104736,0.9180910000000002,0.200455,-0.352369,-0.075808,-0.265587
1503.0,0.067077,1.057358,0.261063,-0.122375,-0.009583,-0.259006
1504.0,0.133484,1.089478,0.257416,0.297181,-0.05905,-0.166794
1505.0,0.135895,0.946259,0.230805,0.131398,-0.103357,-0.041474
1506.0,0.112136,0.937668,0.1699219999999999,-0.092746,-0.07066,-0.044666
1507.0,0.082885,0.971955,0.11586,0.080122,0.072273,0.022938
1508.0,0.056427,0.973205,0.016449,0.155922,0.203936,0.026314
1509.0,0.00264,0.965088,-0.028855,0.055339,0.38081,0.084694
1510.0,-0.029968,0.976883,-0.058151,-0.1578769999999999,0.525285,0.016848
1511.0,-0.047103,1.078262,-0.053818,-0.003662,0.741736,0.057652
1512.0,-0.038483,1.181701,-0.097305,0.482644,0.961197,0.16392
1513.0,-0.077575,1.151993,-0.09317,0.430416,1.267612,0.282774
1514.0,-0.068466,1.099807,-0.0858309999999999,-0.028877,1.516927,0.394624
1515.0,-0.0436559999999999,1.195725,-0.054946,0.158548,1.769088,0.663772
1516.0,-0.075363,1.216705,-0.0539859999999999,0.742029,2.020033,0.834291
1517.0,-0.072922,1.11763,-0.001541,0.779197,2.267713,0.8947359999999999
1518.0,-0.046463,0.993759,0.016647,0.455696,2.420799,1.009501
1519.0,-0.0745229999999999,1.003433,0.058105,0.566441,2.560777,1.062359
1520.0,-0.0692449999999999,0.975083,0.088836,0.866772,2.656765,0.928401
1521.0,-0.0823059999999999,0.8994909999999999,0.10939,1.079776,2.658226,0.884617
1522.0,-0.154557,0.8767089999999998,0.0866399999999999,1.040033,2.692851,0.597701
1523.0,-0.151367,0.802582,0.098694,0.374205,2.900011,0.218935
1524.0,-0.007415,0.806794,0.120239,-0.266756,2.860742,0.210726
1525.0,-0.013794,1.029587,0.097748,0.267618,2.868123,0.437744
1526.0,-0.1403509999999999,1.103119,-0.021271,0.913203,3.087095,0.504784
1527.0,-0.107895,1.082932,0.044068,0.491373,3.541919,0.423663
1528.0,0.100281,1.039658,0.125107,-0.350347,3.55193,0.646833
1529.0,0.126327,1.136643,0.115067,-0.035332,3.363925,1.118522
1530.0,0.110077,1.241501,0.098465,1.3877,3.303527,1.223039
1531.0,0.195038,1.100372,0.1707759999999999,1.793308,3.288442,1.127724
1532.0,0.143554,0.921097,0.1577609999999999,1.234109,3.358263,1.259224
1533.0,0.0572059999999999,0.981735,0.107163,1.2161940000000002,3.529695,1.211259
1534.0,0.0172729999999999,0.95546,0.103958,1.438927,3.646107,1.116652
1535.0,0.031341,0.84996,0.186829,0.68263,3.753129,1.02285
1536.0,0.0089879999999999,0.786911,0.262329,0.019147,3.836201,1.074081
1537.0,-0.0013729999999999,0.921005,0.243943,0.320363,3.860616,1.126356
1538.0,0.0832829999999999,0.92891,0.360962,0.718332,3.643545,0.941257
1539.0,0.184876,0.79245,0.511093,0.227399,3.058332,0.683319
1540.0,0.196609,0.775802,0.535141,-0.484583,2.44397,0.5052
1541.0,0.185562,0.9132690000000002,0.52797,0.024422,1.920089,0.325597
1542.0,0.203247,0.919266,0.466873,0.8941219999999999,1.448121,0.170419
1543.0,0.25502,0.7451620000000001,0.487838,0.589077,1.131269,0.029381
1544.0,0.288941,0.729721,0.419174,-0.19535,1.008562,-0.056583
1545.0,0.328782,0.862717,0.428955,-0.197311,0.982017,-0.0875149999999999
1546.0,0.366074,0.907135,0.390229,-0.149277,0.967991,-0.068739
1547.0,0.370956,0.864395,0.335618,-0.284371,0.968323,0.018748
1548.0,0.360565,0.888886,0.290649,-0.348175,0.966348,0.06254
1549.0,0.351868,0.96341,0.3135829999999999,-0.369817,0.916274,0.1558509999999999
1550.0,0.37053,0.972595,0.333908,-0.266381,0.847933,0.084868
1551.0,0.369735,0.976944,0.350479,-0.18355,0.7454549999999999,0.118944
1552.0,0.374527,0.968079,0.381745,-0.10051,0.57922,0.100776
