frame,accx_l,accy_l,accz_l,gyrox_l,gyroy_l,gyroz_l
61684.0,-0.5725097859327217,4.178466870540265,-1.3374024464831804,-2.3164,2.7073538,2.9761343
61685.0,-0.7043457390417941,3.527099898063201,-0.9262695208970437,-2.3933692,3.1007507,3.946188
61685.0,-0.848632874617737,2.9531251783893984,-0.6108398572884811,-2.4764469,3.3866355,4.85149
61685.0,-0.9865722731906218,2.414550968399592,-0.39135744138634043,-2.7317884,3.5918863,5.629732
61685.0,-1.1025390417940877,1.8686523955147807,-0.2705078287461774,-3.1740546,3.723833,6.1978364
61686.0,-1.2192383282364934,1.338379001019368,-0.23168945973496433,-3.701842,3.8313453,6.5667987
61686.0,-1.3183594291539245,0.8203125382262997,-0.22949220183486238,-4.213747,3.9217534,6.7683845
61686.0,-1.4738770642201835,0.29907229357798165,-0.20751953109072374,-4.4813056,3.986505,7.0078435
61687.0,-1.7919923547400611,-0.2885742405708461,-0.3098144750254842,-4.779408,3.8814363,7.5588436
61687.0,-2.124267686034658,-0.7927246687054026,-0.3767090112130479,-5.285204,3.5100303,8.148939
61687.0,-2.3020020387359836,-1.0437011722731906,-0.33349612640163095,-5.5686455,3.0873117,8.50935
61687.0,-2.3784180428134554,-1.3935547400611619,-0.39990234454638124,-5.5490975,2.642602,8.8416605
61688.0,-2.4128419979612636,-1.7697755351681956,-0.4074707237512742,-5.293756,2.2430964,9.22284
61688.0,-2.308593883792049,-1.967773496432212,-0.5424804791029562,-5.584528,1.9291117,9.418317
61688.0,-2.235595718654434,-1.904541080530071,-0.5156250152905199,-5.693262,1.5992446,9.352344
61689.0,-2.2136231396534147,-1.9177247706422018,-0.6894531600407746,-5.59308,1.2705992,9.199627
61689.0,-2.1767577981651374,-1.9414064220183487,-0.7241211009174311,-5.261991,0.9847144,9.022476
61690.0,-2.120361365953109,-1.8642579001019368,-0.6999512130479103,-4.571714,0.8515458,8.853877
61690.0,-2.0744628950050967,-1.8374024464831802,-0.7192383282364934,-3.828902,0.82711124,8.619306
61690.0,-2.046630988786952,-1.8164064220183487,-0.7380371355759429,-3.108081,0.8539893,8.38229
61691.0,-2.044921916411824,-1.8361817533129459,-0.7280273904179408,-2.371378,0.92851484,8.213691
61691.0,-1.991211111111111,-1.7729493374108052,-0.6779785423037716,-1.5992446,1.091005,8.089074
61691.0,-1.903320489296636,-1.6718750254841999,-0.6538086340468909,-0.89430636,1.3280206,7.951019
61691.0,-1.8061523955147807,-1.5593261977573902,-0.6245117227319061,-0.33231056,1.6261227,7.771425
61691.0,-1.731689602446483,-1.4594727828746177,-0.6027832212028542,0.040317092,1.946216,7.5417395
61692.0,-1.6772461773700305,-1.3640137614678898,-0.5742187563710499,0.17837258,2.2614222,7.241194
61692.0,-1.6169434250764525,-1.2626953109072374,-0.5793457288481141,0.07819072,2.5363116,6.888114
61692.0,-1.5776367991845055,-1.1555176350662588,-0.583251987767584,-0.29199347,2.7598882,6.516708
61692.0,-1.562500101936799,-1.0690918450560651,-0.613037104994903,-0.8002332,2.8808393,6.091546
61693.0,-1.5544434250764525,-1.0966798165137615,-0.5898437716615698,-1.2486081,2.9284868,5.711588
61693.0,-1.5173340468909275,-1.2014161060142712,-0.4533691437308868,-1.5112801,2.905274,5.358508
61693.0,-1.3994140672782873,-1.3261719673802244,-0.20288086646279305,-1.5845839,2.7855444,4.968776
61694.0,-1.2299805300713558,-1.4416504077471968,0.14575195718654432,-1.569923,2.5754068,4.557053
61694.0,-0.9863281855249745,-1.5012206931702343,0.35083009174311924,-1.5906925,2.3725996,4.098904
61694.0,-0.7165527726809378,-1.549072375127421,0.31884766564729866,-1.670105,2.222327,3.7030637
61694.0,-0.476318369011213,-1.646240366972477,0.20312501529051988,-1.8179343,2.1661274,3.4452786
61695.0,-0.2858886850152905,-1.8356933741080528,0.1794433639143731,-1.986533,2.2113314,3.2412498
61695.0,-0.2060546992864424,-2.0991212028542305,0.43017580020387364,-2.1135929,2.2663093,2.9932384
61695.0,-0.31079102956167176,-2.46240244648318,0.8603515800203874,-2.190562,2.131919,2.5534158
61695.0,-0.5383301019367992,-2.7502443425076453,1.2980958205912334,-2.2247703,1.8533645,1.9388856
61696.0,-0.8051758002038736,-2.86865249745158,1.520996126401631,-2.3554955,1.5308278,1.2143997
61696.0,-1.0942383282364931,-2.924072375127421,1.5478515800203874,-2.5619678,1.2510515,0.52290046
61696.0,-1.4589844036697248,-3.0610353720693166,1.426025382262997,-2.7867663,1.0433575,-0.13194685
61697.0,-1.9497071355759428,-3.356201325178389,1.3171387359836901,-2.801427,0.87964565,-0.58765215
61697.0,-2.423584097859327,-3.773681651376147,1.328613353720693,-2.4275775,0.74281186,-0.7452553
61697.0,-2.6433107033639143,-3.979980632008155,1.5212403160040773,-1.8558079,0.5607741,-0.8393285
61697.0,-2.606689602446483,-3.9965820591233436,1.6599123343527014,-1.2632688,0.34330612,-1.0506878
61698.0,-2.502441590214067,-3.882812742099898,1.6257325178389397,-0.63652134,0.117286086,-1.2657123
61698.0,-2.4545899082568803,-3.752197247706422,1.5471191641182467,-0.036651902,-0.0977384,-1.5015062
61698.0,-2.4836426095820587,-3.628662181447502,1.3916016309887869,0.3750711,-0.27611098,-1.7934997
61699.0,-2.619628950050968,-3.5275881753312945,1.192382874617737,0.58887386,-0.41416648,-2.131919
61699.0,-2.759765647298675,-3.5112303771661564,0.9384765545361875,0.5949825,-0.52167875,-2.5558593
61699.0,-2.777587971457696,-3.4990234454638123,0.6416016004077472,0.30787596,-0.5986477,-3.1337376
61700.0,-2.6345215086646276,-3.41235372069317,0.3479004077471967,-0.39584053,-0.6340779,-3.802024
