frame,accx_l,accy_l,accz_l,gyrox_l,gyroy_l,gyroz_l
13739.0,-0.9101562691131497,0.006835937818552497,0.1027832110091743,0.23823735,0.2638937,-0.6963861
13740.0,-0.9472656472986748,-0.03540039245667686,0.11914063200815495,0.13805549,0.2883283,-0.7452553
13740.0,-0.9575195718654433,-0.05859375127420998,0.12744141692150865,0.14660761,0.2809979,-0.75991607
13740.0,-0.953613353720693,-0.06103515800203873,0.12255859327217125,0.21380275,0.2736675,-0.77091163
13740.0,-0.9587402650356778,-0.05029297145769623,0.11840820591233435,0.24556774,0.28344136,-0.7770203
13741.0,-0.9746094801223242,-0.01611328236493374,0.12231445463812436,0.23701562,0.32253674,-0.77457684
13741.0,-0.9997559633027522,0.009033202854230376,0.1257324362895005,0.20036373,0.3249802,-0.7977897
13741.0,-0.9785155963302752,-0.009521485219164117,0.15747070336391436,0.19058989,0.25045466,-0.8136722
13742.0,-0.9248046890927624,-0.05517577981651376,0.1596679714576962,0.18570296,0.19181162,-0.82833296
13742.0,-0.8876953109072374,-0.0756835983690112,0.1779785219164118,0.23457217,0.22968525,-0.8051201
13742.0,-0.9167481141692151,-0.07836914678899082,0.189209001019368,0.30298904,0.32009327,-0.77457684
13742.0,-0.9926758409785932,-0.06567383282364933,0.17993164118246685,0.33964095,0.41294473,-0.74281186
13743.0,-1.069580122324159,-0.04565429867482161,0.09692383282364933,0.25411984,0.46914434,-0.7293728
13743.0,-1.115966870540265,-0.01782226605504587,0.02465820489296636,0.13194685,0.43004897,-0.7110469
13743.0,-1.1059570846075433,-0.04858398572884811,0.002929687563710499,0.02076941,0.2797762,-0.67683846
13743.0,-1.0671387359836901,-0.10107422018348623,0.06640624872579001,-0.0977384,0.15638144,-0.6304127
13744.0,-1.0639648318042814,-0.15478515800203874,0.18212890927624872,-0.08185591,0.13805549,-0.57176965
13744.0,-1.094726605504587,-0.19506836901121305,0.19970704383282364,0.02687806,0.22724178,-0.5094614
13744.0,-1.1389161060142712,-0.15332031600407747,0.14916992864424056,0.16126837,0.32375845,-0.43371415
13744.0,-1.164306625891947,-0.10742188583078491,0.11694336391437309,0.28955,0.31887153,-0.37629285
13745.0,-1.1879882772680939,-0.0913085983690112,0.09497070336391437,0.29321522,0.29443693,-0.37018418
13745.0,-1.1994628950050967,-0.07495117635066259,0.09301758103975534,0.25167638,0.3090977,-0.35185826
13745.0,-1.211425891946993,-0.09179687665647299,0.1206054740061162,0.26878062,0.29565868,-0.34819305
13746.0,-1.208007849133537,-0.11230468909276249,0.1613769622833843,0.24312428,0.28588483,-0.34819305
13746.0,-1.1892090723751274,-0.1484375127420999,0.16357422018348622,0.20647237,0.29077175,-0.34330612
13746.0,-1.1821289500509684,-0.19555665647298673,0.1748046992864424,0.1869247,0.27611098,-0.3494148
13747.0,-1.1870118246687054,-0.1887207135575943,0.12744141692150865,0.20158546,0.27733272,-0.31520635
13747.0,-1.1840821610601426,-0.1335449337410805,0.07763672069317024,0.26145023,0.2809979,-0.27611098
13747.0,-1.1640625891946992,-0.10620117227319062,0.04394531396534149,0.30176732,0.20036373,-0.2651154
13748.0,-1.1313477064220183,-0.09521484709480121,0.07666015800203874,0.25900677,0.13194685,-0.25778502
13748.0,-1.1022950050968399,-0.1030273496432212,0.11499024464831804,0.1832595,0.12705992,-0.2651154
13748.0,-1.0781250254841996,-0.13256835881753312,0.16430664627930683,0.14416414,0.11362089,-0.2883283
13749.0,-1.051269622833843,-0.16748046890927626,0.18237305810397553,0.122173004,0.101403594,-0.29443693
13749.0,-1.0229492354740062,-0.2097167991845056,0.20629883792048928,0.14049895,0.123394735,-0.2638937
